gridcode;year;nitrate;rainfall;oxygen;area;emission;stockage;grass;vegetableG1;vegetableG2;vegetableG3;catchcrop;norm_N;deposition
13500;2011;5.6;92.17319048;0;0.876620555;0.001416472;-0.000708975;0.190468318;0;0;0.015574068;yes;0.022533877;0.002997109
13500;2012;9.6;79.8077381;59.9;0.879057321;0.001474376;-6.84E-05;0.189034582;0;0;0;yes;0.023961872;0.002864968
13500;2013;2.21;90.98178571;96.2;0.88034051;0.001331979;-6.01E-05;0.184417404;0;0.009327577;0;yes;0.023074014;0.002566277
13550;2008;11;132.1746389;68.8;0.910371939;0.001720123;-0.000652543;0.165129364;0;0;0;yes;0.022117535;0.003208381
13550;2009;12.2;168.47;62.4;0.899935477;0.001761845;-0.00037525;0.154317723;0;0;0;yes;0.024323856;0.002854859
13550;2010;11.4;235.4825;77.2;0.899824754;0.001708984;-2.95E-06;0.109373079;0;0;0;no;0.021900323;0.002665196
13550;2011;10.6;98.98972222;89.3;0.897788527;0.00136593;-0.000591663;0.13219174;0;0;0.024898559;yes;0.020798342;0.002940942
13550;2012;7.8;157.7979167;61.6;0.90123834;0.001496539;-8.31E-05;0.122066953;0;0;0;no;0.022953346;0.00280704
13550;2013;8.4;181.3542698;67.5;0.906334598;0.001532687;-8.00E-06;0.132981783;0;0.014834247;0;no;0.021515885;0.002505042
15380;2008;1.8;54.86457143;0;0.734667714;0.00565103;-0.002597025;0.398587555;0;0;0;yes;0.026641685;0.002929308
15380;2009;3.8;61.2979359;0;0.739946633;0.005064091;0.000975451;0.410241318;0;0;0;yes;0.026852673;0.002570753
15380;2010;1.5;35.16755952;0;0.736627073;0.005692893;-0.000159749;0.427027329;0;0;0;yes;0.026537052;0.002324268
15380;2011;2.3;92.17319048;0;0.742569672;0.004801104;0.000262234;0.435579061;0;0.02357317;0;yes;0.025879563;0.002665293
15380;2012;1.9;107.34825;0;0.741574912;0.004207857;-0.000376213;0.401952676;0;0.010658683;0;yes;0.025757901;0.00257813
16400;2008;14;121.7546389;49.9;0.862532516;0.005599954;-0.001585762;0.293201763;0;0;0;no;0.026021404;0.004188211
16400;2009;12.5;168.47;58.8;0.861164693;0.006407986;-0.000845055;0.297702246;0;0;0;no;0.026117407;0.003724603
16400;2010;11.3;62.18432234;61.4;0.857350649;0.00672496;-0.000201441;0.316037353;0;0;0;no;0.025911169;0.003427641
16400;2011;11.3;75.60277778;61.1;0.853507452;0.007087876;-0.002757832;0.323795762;0.008242784;0.008227294;0;no;0.024578661;0.003966179
16400;2012;12.2;88.91491667;68;0.85279781;0.00726832;-0.001850372;0.286170506;0;0.087646237;0;no;0.024098536;0.00382285
16400;2013;11.1;63.65078571;98.2;0.843015583;0.008290486;-0.001599279;0.272634055;0;0.017889129;0;no;0.024308224;0.003432515
17000;2008;9.4;87.0575;84.7;0.739520733;0.004554455;-0.000124959;0.302720871;0;0;0;no;0.024841656;0.004762734
17000;2009;7.3;168.47;58.7;0.723016506;0.004373654;-0.000603778;0.311842565;0;0;0;yes;0.025494381;0.004320199
17000;2010;7.2;123.9220455;45.8;0.70221708;0.004730137;-0.00071588;0.285676784;0;0;0;no;0.025823279;0.004154701
17000;2011;7.8;175.0377778;61.6;0.695585961;0.004773787;-0.001167571;0.28423256;0;0.0250455;0.002767263;no;0.023792096;0.004542306
17000;2012;6;79.8077381;58.6;0.703017516;0.004640343;0.000247269;0.281179097;0;0.023810862;0.017460837;no;0.023923913;0.004310607
17500;2008;11;87.0575;85.2;0.717297533;0.004391834;-3.44E-05;0.297820979;0;0;0;no;0.024617978;0.004946244
17500;2009;9.1;168.47;62.8;0.696809032;0.0042779;-0.000689183;0.311301741;0;0;0;no;0.025206438;0.004512968
17500;2010;8.4;123.9220455;65.6;0.673021394;0.004663877;-0.000352294;0.281764191;0;0;0;no;0.025637759;0.004386916
17500;2011;8.8;175.0377778;71.6;0.665896041;0.004773438;-0.00116879;0.291156591;0;0.017448656;0.003353298;no;0.023805517;0.00478541
17500;2012;7.5;79.8077381;60.5;0.673830133;0.004485552;0.000254884;0.271071932;0;0.016007143;0.02113285;no;0.023811324;0.004526693
17500;2013;6;181.3542698;52.1;0.674961757;0.004990933;-0.001048879;0.273574784;0;0.022708443;0;no;0.024390725;0.004068118
19000;2008;9.8;87.0575;63.6;0.75122374;0.006224698;-0.000240542;0.408648011;0;0;0;no;0.02669599;0.003617901
19000;2009;8.6;47.03881548;56.3;0.753720828;0.006308629;-0.00036913;0.418242665;0;0;0;no;0.025110492;0.00320508
19000;2010;6.8;62.18432234;55.9;0.747913305;0.0069071;0.000149693;0.434371528;0;0;0;yes;0.025273471;0.002983737
19000;2011;7.6;175.0377778;44.7;0.743882371;0.006948003;-0.001137783;0.409159785;0.010937841;0.021406148;0;no;0.022981181;0.003376017
19000;2012;7.4;87.81872727;71;0.74275083;0.00732908;-0.000353261;0.41089196;0.011687182;0.027411979;0;no;0.023508964;0.003258179
19000;2013;4.7;95.75266667;52.3;0.738592261;0.007064892;0.000625116;0.411717214;0.011749492;0.030945253;0;no;0.02402673;0.002920896
21000;2008;11;121.7546389;65.2;0.904850359;0.003114265;-0.000663099;0.186647961;0;0;0;no;0.023806231;0.003540877
21000;2009;12.6;168.47;68.5;0.896201933;0.002905048;-0.000844412;0.214999403;0;0;0;yes;0.024202738;0.003164277
21000;2010;10.1;123.9220455;47.7;0.893530066;0.003057157;0.0003137;0.186872968;0;0;0;no;0.023940657;0.002882477
21000;2011;8.7;75.60277778;80.9;0.893795472;0.003762596;-0.000655313;0.195643048;0.003815267;0.006763177;0.007565909;no;0.022109423;0.003246558
21000;2012;9.2;96.48690476;60.8;0.891125305;0.003736253;-0.001002897;0.199334286;0.002371733;0.001762463;0.026436759;yes;0.024321726;0.003199165
21000;2013;6;63.65078571;82.4;0.884037936;0.002743548;0.000109284;0.183034089;0.000916735;0.004734165;0.017557317;no;0.023493879;0.002830448
21600;2008;15;84.60707143;63.2;0.937217724;0.001697934;-0.000927549;0.145302927;0;0;0;yes;0.021998607;0.002644937
21600;2009;10.8;168.47;67.6;0.914228275;0.001714321;0.000113511;0.191325743;0;0;0;yes;0.023989856;0.002388005
21600;2010;8.7;104.8961905;80.4;0.912829619;0.002007515;0.000693018;0.141844062;0;0;0;yes;0.022434414;0.002181077
21600;2011;7.7;51.40928571;80.7;0.915864352;0.001630061;-0.000439321;0.184780476;0.021629571;0;0;yes;0.024502109;0.002438888
21600;2012;6.4;88.91491667;64.5;0.910527719;0.001331801;6.99E-05;0.178211304;0;0;0.057283691;yes;0.023979899;0.00240525
21600;2013;4.6;131.9402698;53.3;0.905088445;0.001041622;0.00011845;0.131155452;0.004416959;0;0.005779676;no;0.021210439;0.002133089
21900;2008;1.3;54.86457143;0;0.873229343;0.003929323;-0.000731839;0.50185455;0;0;0;yes;0.026724954;0.004702418
21900;2009;3.4;164.5983333;0;0.875348192;0.006371359;-0.002068367;0.433038506;0;0;0;no;0.026884852;0.004127268
21900;2010;1.2;35.16755952;0;0.874258945;0.006709852;-0.000595978;0.441926193;0;0;0;no;0.026906014;0.003688529
21900;2011;3.5;92.17319048;0;0.878429144;0.00655022;-0.001903386;0.441810327;0;0.013799913;0;no;0.024791995;0.0042683
21900;2012;1.97;107.34825;0;0.879971322;0.006633052;-0.000717333;0.449099694;0;0.000775973;0.019702935;no;0.02545195;0.004142412
22400;2008;8.5;87.0575;65.7;0.946826655;0.003551816;-0.000909446;0.140124413;0;0;0;no;0.024752738;0.003303967
22400;2009;12.1;168.47;57;0.942479056;0.006554099;-0.001673759;0.206085913;0;0;0;yes;0.025095563;0.002973292
22400;2010;8.1;235.4825;31.5;0.941212627;0.007487725;0.000817382;0.202089506;0;0;0;yes;0.023901759;0.002683323
22400;2011;9;51.40928571;93.9;0.94730833;0.00952715;0.000211122;0.138932612;0;0;0;no;0.021956261;0.003019267
