PointId;year;nitrate;oxygen;pigsmanure;totalnitrogen;grass;vegetables;catchcrop;follow crop;norm
13500;2012;10.92078954;68.1411764;0.002297218;0.020390115;0.189034582;0;no;0.615767085;0.023961872
13500;2013;2.510392259;109.2758983;0.002300579;0.020469652;0.184417404;0;no;0.756488079;0.023074014
13500;2014;3.640154976;103.2893975;0.0021505;0.021639753;0.202104911;0;no;0.685545804;0.024022845
13550;2007;13.25690566;72.91298115;0.003724053;0.021630944;0.214559441;0;no;1;0.023122093
13550;2008;12.08297348;75.57350689;0.00439766;0.021051535;0.165129364;0;no;0.932964603;0.022117535
13550;2009;13.55652745;69.33830435;0.00501093;0.023075575;0.154317723;0;no;0.851365315;0.024323856
13550;2010;12.66913358;85.79448352;0.004757207;0.02085309;0.109373079;0;no;0.921513348;0.021900323
13550;2011;11.80678933;99.46663087;0.003366956;0.017822122;0.13219174;0;no;0.780478603;0.020798342
13550;2012;8.654758296;68.35039885;0.003611937;0.018782959;0.122066953;0;no;0.583312803;0.022953346
13550;2013;9.268100344;74.47580634;0.003595061;0.019132543;0.132981783;0;no;0.789784685;0.021515885
13550;2014;8.183800198;90.57476165;0.002041667;0.020506229;0.160746728;0;no;0.74292351;0.023073965
15380;2008;2.450087251;0;0.012536751;0.022347845;0.398587555;0;no;0.54905737;0.026641685
15380;2009;5.135505497;0;0.009123385;0.022630749;0.410241318;0;no;0.78451339;0.026852673
15380;2010;2.036308539;0;0.011188493;0.023458913;0.427027329;0;no;0.77854164;0.026537052
15380;2011;3.097352458;0;0.010189963;0.021533515;0.435579061;0;no;0.744658856;0.025879563
15380;2012;2.562114723;0;0.007312066;0.021391075;0.401952676;0;no;0.686699488;0.025757901
15380;2014;1.684045927;0;0.005488425;0.021610961;0.360819473;0;no;0.68942195;0.024365862
16400;2007;18.64363879;77.7206692;0.012181793;0.02102871;0.316630757;0;no;1;0.026248583
16400;2008;16.23127214;57.8528914;0.009892106;0.018913377;0.293201763;0;no;0.59225517;0.026021404
16400;2009;14.51522584;68.27962234;0.012296824;0.02061256;0.297702246;0;no;0.753131312;0.026117407
16400;2010;13.18013816;71.61597194;0.01393732;0.019794332;0.316037353;0;no;0.735814065;0.025911169
16400;2011;13.23948604;71.58695551;0.014658485;0.02483571;0.323795762;0.008242784;no;0.762189026;0.024578661
16400;2012;14.30585287;79.7375406;0.015173519;0.020371835;0.286170506;0;no;0.71423852;0.024098536
16400;2013;13.1670164;116.4865775;0.018200885;0.02080792;0.272634055;0;no;0.701127005;0.024308224
16400;2014;14.50351263;74.64002839;0.01527384;0.020253116;0.272598845;0;no;0.574239392;0.02378024
17000;2007;13.26694523;104.9046081;0.006027872;0.02243393;0.303595127;0;no;1;0.024963731
17000;2008;12.71093504;114.5336381;0.00632536;0.020662281;0.302720871;0;no;0.745658099;0.024841656
17000;2009;10.09658831;81.18763474;0.006544273;0.021230501;0.311842565;0;no;0.838009704;0.025494381
17000;2010;10.25323964;65.22199659;0.006444171;0.021273191;0.285676784;0;no;0.881821702;0.025823279
17000;2011;11.21356732;88.55842908;0.006746951;0.020136976;0.28423256;0;no;0.774286184;0.023792096
